,,,,,,,,,,,,,
Date,Assembly,Hour 0,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11
09 Nov 2019,-,,-,P,P,P,P,-,-,P,P,-,
08 Nov 2019,P,,-,P,P,P,P,-,-,U,U,-,
07 Nov 2019,P,,-,P,P,P,P,-,P,P,-,-,
06 Nov 2019,P,,-,P,P,P,P,-,P,-,-,-,
05 Nov 2019,-,,-,P,P,P,P,-,-,-,-,-,
02 Nov 2019,-,,-,-,-,-,-,-,P,P,-,-,
01 Nov 2019,-,,-,P,P,-,-,-,-,-,-,-,
30 Oct 2019,-,,-,A,A,-,-,-,-,-,-,-,
29 Oct 2019,A,,-,P,P,P,P,-,P,P,-,-,
25 Oct 2019,M,,-,P,M,M,M,-,-,M,M,-,
24 Oct 2019,M,,-,M,M,M,M,-,M,M,-,-,
23 Oct 2019,M,,-,M,M,P,M,-,M,-,-,-,
22 Oct 2019,A,,-,A,P,P,P,-,P,P,-,-,
18 Oct 2019,A,,-,A,A,A,P,-,-,A,A,-,
17 Oct 2019,A,,-,P,P,P,P,-,P,P,-,-,
16 Oct 2019,A,,-,A,A,A,A,-,P,-,-,-,
15 Oct 2019,O,,-,P,O,O,O,-,O,O,-,-,
14 Oct 2019,A,,-,A,A,P,A,-,A,A,A,-,
11 Oct 2019,A,,-,P,P,P,P,-,-,P,P,-,
10 Oct 2019,A,,-,P,P,P,A,-,P,P,-,-,
09 Oct 2019,A,,-,P,P,P,P,-,P,-,-,-,
04 Oct 2019,A,,-,P,P,P,P,-,-,A,A,-,
03 Oct 2019,A,,-,P,P,P,P,-,P,P,-,-,
01 Oct 2019,A,,-,P,P,P,P,-,A,A,-,-,
30 Sep 2019,A,,-,P,P,P,P,-,P,P,P,-,
28 Sep 2019,-,,-,P,P,P,-,-,P,P,-,-,
27 Sep 2019,-,,-,-,-,-,-,-,P,P,-,-,
26 Sep 2019,-,,-,P,P,P,P,-,-,-,-,-,
25 Sep 2019,-,,-,P,P,-,-,-,-,-,-,-,
24 Sep 2019,-,,-,P,P,-,-,-,-,-,-,-,
23 Sep 2019,-,,-,P,P,-,-,-,-,-,-,-,
20 Sep 2019,P,,-,P,P,P,P,-,-,P,P,-,
19 Sep 2019,O,,-,O,P,O,O,-,O,O,-,-,
18 Sep 2019,P,,-,P,P,P,P,-,P,-,-,-,
17 Sep 2019,A,,-,P,P,P,P,-,A,A,-,-,
16 Sep 2019,A,,-,P,P,P,P,-,P,P,P,-,
14 Sep 2019,P,,-,P,P,P,P,-,P,P,P,-,
13 Sep 2019,P,,-,P,P,P,P,-,-,A,A,-,
12 Sep 2019,P,,-,P,P,P,P,-,P,P,-,-,
10 Sep 2019,P,,-,P,P,P,P,-,P,P,-,-,
09 Sep 2019,A,,-,P,U,P,P,-,P,P,P,-,
07 Sep 2019,P,,-,P,-,P,P,-,P,P,A,-,
06 Sep 2019,P,,-,P,P,P,P,-,-,P,P,-,
05 Sep 2019,P,,-,P,P,P,P,-,P,P,-,-,
04 Sep 2019,P,,-,P,P,P,-,-,-,-,-,-,
03 Sep 2019,A,,-,P,P,P,P,-,P,P,-,-,
31 Aug 2019,P,,-,P,P,P,P,-,-,A,A,-,
30 Aug 2019,A,,-,P,P,P,P,-,-,P,P,-,
29 Aug 2019,A,,-,P,P,P,P,-,P,P,-,-,
28 Aug 2019,A,,-,P,P,P,P,-,P,-,-,-,
27 Aug 2019,A,,-,P,P,P,A,-,P,P,-,-,
26 Aug 2019,O,,-,O,O,O,O,-,O,O,O,-,
22 Aug 2019,A,,-,P,P,P,P,-,A,A,-,-,
21 Aug 2019,P,,-,P,P,P,P,-,P,P,P,-,
20 Aug 2019,A,,-,U,P,P,P,-,P,P,-,-,
19 Aug 2019,-,,-,O,O,-,-,-,-,-,-,-,
17 Aug 2019,-,,-,-,-,-,-,-,O,O,-,-,
16 Aug 2019,-,,-,-,-,-,-,-,O,O,-,-,
14 Aug 2019,-,,-,O,O,O,-,-,-,-,-,-,
13 Aug 2019,-,,-,-,-,-,-,-,O,O,-,-,
08 Aug 2019,-,,-,O,O,-,-,-,A,A,A,-,
07 Aug 2019,P,,-,P,P,P,P,-,P,A,A,-,
06 Aug 2019,A,,-,U,P,P,P,-,P,P,-,-,
05 Aug 2019,A,,-,A,A,A,A,-,U,A,P,-,
02 Aug 2019,P,,-,A,P,P,P,-,-,P,U,-,
01 Aug 2019,P,,-,P,P,P,P,-,P,P,-,-,
31 Jul 2019,P,,-,P,P,P,P,-,P,P,P,-,
30 Jul 2019,P,,-,-,-,P,P,-,A,A,-,-,
29 Jul 2019,A,,-,P,P,P,P,-,U,P,P,-,
26 Jul 2019,O,,-,O,P,P,P,-,-,P,O,-,
25 Jul 2019,P,,-,P,P,P,P,-,A,A,-,-,
24 Jul 2019,A,,-,P,P,P,U,-,P,-,-,-,
23 Jul 2019,A,,-,U,P,A,A,-,A,A,-,-,
22 Jul 2019,A,,-,A,P,P,U,-,U,P,P,-,
19 Jul 2019,P,,-,P,P,P,P,-,-,A,U,-,
18 Jul 2019,A,,-,P,P,P,P,-,A,A,-,-,
17 Jul 2019,A,,-,A,P,A,U,-,A,-,-,-,
16 Jul 2019,A,,-,U,P,P,P,-,U,U,P,P,
15 Jul 2019,A,,-,P,P,P,U,-,U,P,P,-,
13 Jul 2019,A,,-,P,P,P,-,-,-,A,A,-,
12 Jul 2019,P,,-,P,P,P,P,-,-,U,U,-,
11 Jul 2019,P,,-,P,P,P,P,-,U,-,-,-,
10 Jul 2019,P,,-,P,A,P,U,-,A,A,-,-,
09 Jul 2019,A,,-,-,-,P,P,-,U,U,-,-,
